BehaviorSpace results (NetLogo 6.4.0),Table version 2.0,,,,,,
trafico.nlogo,,,,,,,
experiment,,,,,,,
11/04/2024 21:50:26:740 -0600,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
-25,25,-3,3,,,,
[run number],velocidad_inicial,numero_de_carros,aceleracion,posicion_inicial,desaceleracion,[step],cuenta_global
133,homogenea,14,0.0045,homogenea,0.026,100000,274.44
136,homogenea,14,0.0045,homogenea,0.026,100000,274.44
134,homogenea,14,0.0045,homogenea,0.026,100000,274.44
137,homogenea,14,0.0045,homogenea,0.026,100000,274.44
138,homogenea,14,0.0045,homogenea,0.026,100000,274.44
139,homogenea,14,0.0045,homogenea,0.026,100000,274.44
141,homogenea,15,0.0045,homogenea,0.026,100000,294.04
142,homogenea,15,0.0045,homogenea,0.026,100000,294.04
140,homogenea,14,0.0045,homogenea,0.026,100000,274.44
143,homogenea,15,0.0045,homogenea,0.026,100000,294.04
144,homogenea,15,0.0045,homogenea,0.026,100000,294.04
146,homogenea,15,0.0045,homogenea,0.026,100000,294.04
145,homogenea,15,0.0045,homogenea,0.026,100000,294.04
147,homogenea,15,0.0045,homogenea,0.026,100000,294.04
149,homogenea,15,0.0045,homogenea,0.026,100000,294.04
148,homogenea,15,0.0045,homogenea,0.026,100000,294.04
150,homogenea,15,0.0045,homogenea,0.026,100000,294.04
152,homogenea,16,0.0045,homogenea,0.026,100000,313.64
151,homogenea,16,0.0045,homogenea,0.026,100000,313.64
153,homogenea,16,0.0045,homogenea,0.026,100000,313.64
154,homogenea,16,0.0045,homogenea,0.026,100000,313.64
155,homogenea,16,0.0045,homogenea,0.026,100000,313.64
156,homogenea,16,0.0045,homogenea,0.026,100000,313.64
157,homogenea,16,0.0045,homogenea,0.026,100000,313.64
159,homogenea,16,0.0045,homogenea,0.026,100000,313.64
158,homogenea,16,0.0045,homogenea,0.026,100000,313.64
160,homogenea,16,0.0045,homogenea,0.026,100000,313.64
161,homogenea,17,0.0045,homogenea,0.026,100000,333.24
162,homogenea,17,0.0045,homogenea,0.026,100000,333.24
163,homogenea,17,0.0045,homogenea,0.026,100000,333.24
166,homogenea,17,0.0045,homogenea,0.026,100000,333.24
165,homogenea,17,0.0045,homogenea,0.026,100000,333.24
164,homogenea,17,0.0045,homogenea,0.026,100000,333.24
168,homogenea,17,0.0045,homogenea,0.026,100000,333.24
167,homogenea,17,0.0045,homogenea,0.026,100000,333.24
169,homogenea,17,0.0045,homogenea,0.026,100000,333.24
171,homogenea,18,0.0045,homogenea,0.026,100000,352.84
172,homogenea,18,0.0045,homogenea,0.026,100000,352.84
170,homogenea,17,0.0045,homogenea,0.026,100000,333.24
173,homogenea,18,0.0045,homogenea,0.026,100000,352.84
175,homogenea,18,0.0045,homogenea,0.026,100000,352.84
178,homogenea,18,0.0045,homogenea,0.026,100000,352.84
176,homogenea,18,0.0045,homogenea,0.026,100000,352.84
177,homogenea,18,0.0045,homogenea,0.026,100000,352.84
174,homogenea,18,0.0045,homogenea,0.026,100000,352.84
179,homogenea,18,0.0045,homogenea,0.026,100000,352.84
180,homogenea,18,0.0045,homogenea,0.026,100000,352.84
181,homogenea,19,0.0045,homogenea,0.026,100000,372.44
182,homogenea,19,0.0045,homogenea,0.026,100000,372.44
183,homogenea,19,0.0045,homogenea,0.026,100000,372.44
184,homogenea,19,0.0045,homogenea,0.026,100000,372.44
185,homogenea,19,0.0045,homogenea,0.026,100000,372.44
187,homogenea,19,0.0045,homogenea,0.026,100000,372.44
188,homogenea,19,0.0045,homogenea,0.026,100000,372.44
186,homogenea,19,0.0045,homogenea,0.026,100000,372.44
189,homogenea,19,0.0045,homogenea,0.026,100000,372.44
190,homogenea,19,0.0045,homogenea,0.026,100000,372.44
191,homogenea,20,0.0045,homogenea,0.026,100000,392.05
193,homogenea,20,0.0045,homogenea,0.026,100000,392.05
192,homogenea,20,0.0045,homogenea,0.026,100000,392.05
194,homogenea,20,0.0045,homogenea,0.026,100000,392.05
195,homogenea,20,0.0045,homogenea,0.026,100000,392.05
197,homogenea,20,0.0045,homogenea,0.026,100000,392.05
196,homogenea,20,0.0045,homogenea,0.026,100000,392.05
199,homogenea,20,0.0045,homogenea,0.026,100000,392.05
198,homogenea,20,0.0045,homogenea,0.026,100000,392.05
201,homogenea,21,0.0045,homogenea,0.026,100000,411.66
200,homogenea,20,0.0045,homogenea,0.026,100000,392.05
203,homogenea,21,0.0045,homogenea,0.026,100000,411.66
202,homogenea,21,0.0045,homogenea,0.026,100000,411.66
205,homogenea,21,0.0045,homogenea,0.026,100000,411.66
204,homogenea,21,0.0045,homogenea,0.026,100000,411.66
206,homogenea,21,0.0045,homogenea,0.026,100000,411.66
207,homogenea,21,0.0045,homogenea,0.026,100000,411.66
211,homogenea,22,0.0045,homogenea,0.026,100000,431.26
208,homogenea,21,0.0045,homogenea,0.026,100000,411.66
210,homogenea,21,0.0045,homogenea,0.026,100000,411.66
209,homogenea,21,0.0045,homogenea,0.026,100000,411.66
212,homogenea,22,0.0045,homogenea,0.026,100000,431.26
213,homogenea,22,0.0045,homogenea,0.026,100000,431.26
214,homogenea,22,0.0045,homogenea,0.026,100000,431.26
216,homogenea,22,0.0045,homogenea,0.026,100000,431.26
218,homogenea,22,0.0045,homogenea,0.026,100000,431.26
215,homogenea,22,0.0045,homogenea,0.026,100000,431.26
217,homogenea,22,0.0045,homogenea,0.026,100000,431.26
219,homogenea,22,0.0045,homogenea,0.026,100000,431.26
220,homogenea,22,0.0045,homogenea,0.026,100000,431.26
221,homogenea,23,0.0045,homogenea,0.026,100000,450.86
222,homogenea,23,0.0045,homogenea,0.026,100000,450.86
224,homogenea,23,0.0045,homogenea,0.026,100000,450.86
225,homogenea,23,0.0045,homogenea,0.026,100000,450.86
223,homogenea,23,0.0045,homogenea,0.026,100000,450.86
226,homogenea,23,0.0045,homogenea,0.026,100000,450.86
228,homogenea,23,0.0045,homogenea,0.026,100000,450.86
227,homogenea,23,0.0045,homogenea,0.026,100000,450.86
229,homogenea,23,0.0045,homogenea,0.026,100000,450.86
230,homogenea,23,0.0045,homogenea,0.026,100000,450.86
231,homogenea,24,0.0045,homogenea,0.026,100000,470.46
232,homogenea,24,0.0045,homogenea,0.026,100000,470.46
233,homogenea,24,0.0045,homogenea,0.026,100000,470.46
234,homogenea,24,0.0045,homogenea,0.026,100000,470.46
235,homogenea,24,0.0045,homogenea,0.026,100000,470.46
236,homogenea,24,0.0045,homogenea,0.026,100000,470.46
237,homogenea,24,0.0045,homogenea,0.026,100000,470.46
238,homogenea,24,0.0045,homogenea,0.026,100000,470.46
240,homogenea,24,0.0045,homogenea,0.026,100000,470.46
239,homogenea,24,0.0045,homogenea,0.026,100000,470.46
241,homogenea,25,0.0045,homogenea,0.026,100000,490.06
242,homogenea,25,0.0045,homogenea,0.026,100000,490.06
244,homogenea,25,0.0045,homogenea,0.026,100000,490.06
243,homogenea,25,0.0045,homogenea,0.026,100000,490.06
245,homogenea,25,0.0045,homogenea,0.026,100000,490.06
246,homogenea,25,0.0045,homogenea,0.026,100000,490.06
248,homogenea,25,0.0045,homogenea,0.026,100000,490.06
247,homogenea,25,0.0045,homogenea,0.026,100000,490.06
249,homogenea,25,0.0045,homogenea,0.026,100000,490.06
251,homogenea,26,0.0045,homogenea,0.026,100000,75.08
250,homogenea,25,0.0045,homogenea,0.026,100000,490.06
252,homogenea,26,0.0045,homogenea,0.026,100000,75.14
253,homogenea,26,0.0045,homogenea,0.026,100000,75.12
254,homogenea,26,0.0045,homogenea,0.026,100000,75.14
255,homogenea,26,0.0045,homogenea,0.026,100000,75.23
256,homogenea,26,0.0045,homogenea,0.026,100000,75.08
258,homogenea,26,0.0045,homogenea,0.026,100000,75.08
257,homogenea,26,0.0045,homogenea,0.026,100000,75.08
260,homogenea,26,0.0045,homogenea,0.026,100000,75.11
259,homogenea,26,0.0045,homogenea,0.026,100000,75.17
261,homogenea,27,0.0045,homogenea,0.026,100000,72.04
262,homogenea,27,0.0045,homogenea,0.026,100000,72.22
263,homogenea,27,0.0045,homogenea,0.026,100000,72.11
264,homogenea,27,0.0045,homogenea,0.026,100000,72.15
265,homogenea,27,0.0045,homogenea,0.026,100000,72.17
266,homogenea,27,0.0045,homogenea,0.026,100000,72.13
267,homogenea,27,0.0045,homogenea,0.026,100000,72.09
268,homogenea,27,0.0045,homogenea,0.026,100000,72.11
269,homogenea,27,0.0045,homogenea,0.026,100000,72.16
271,homogenea,28,0.0045,homogenea,0.026,100000,69.05
270,homogenea,27,0.0045,homogenea,0.026,100000,72.11
272,homogenea,28,0.0045,homogenea,0.026,100000,69.1
274,homogenea,28,0.0045,homogenea,0.026,100000,69.11
273,homogenea,28,0.0045,homogenea,0.026,100000,69.06
276,homogenea,28,0.0045,homogenea,0.026,100000,69.11
275,homogenea,28,0.0045,homogenea,0.026,100000,69.09
278,homogenea,28,0.0045,homogenea,0.026,100000,69.06
277,homogenea,28,0.0045,homogenea,0.026,100000,69.09
279,homogenea,28,0.0045,homogenea,0.026,100000,69.12
280,homogenea,28,0.0045,homogenea,0.026,100000,69.08
281,homogenea,29,0.0045,homogenea,0.026,100000,66.02
282,homogenea,29,0.0045,homogenea,0.026,100000,66.12
283,homogenea,29,0.0045,homogenea,0.026,100000,66.1
286,homogenea,29,0.0045,homogenea,0.026,100000,66.1
285,homogenea,29,0.0045,homogenea,0.026,100000,66.11
284,homogenea,29,0.0045,homogenea,0.026,100000,66.11
287,homogenea,29,0.0045,homogenea,0.026,100000,66.05
288,homogenea,29,0.0045,homogenea,0.026,100000,66.11
289,homogenea,29,0.0045,homogenea,0.026,100000,66.13
290,homogenea,29,0.0045,homogenea,0.026,100000,66.06
291,homogenea,30,0.0045,homogenea,0.026,100000,63.15
293,homogenea,30,0.0045,homogenea,0.026,100000,63.06
292,homogenea,30,0.0045,homogenea,0.026,100000,63.07
295,homogenea,30,0.0045,homogenea,0.026,100000,63.07
294,homogenea,30,0.0045,homogenea,0.026,100000,63.04
296,homogenea,30,0.0045,homogenea,0.026,100000,63.03
297,homogenea,30,0.0045,homogenea,0.026,100000,63.11
298,homogenea,30,0.0045,homogenea,0.026,100000,63.02
300,homogenea,30,0.0045,homogenea,0.026,100000,63.08
299,homogenea,30,0.0045,homogenea,0.026,100000,63.04
